date,federal_reserve_system,european_central_bank,swiss_national_bank,bank_england,reserve_bank_australia,bank_japan,bank_brazil
1/1/1970,,,,8,,,
2/1/1970,,,,8,,,
3/1/1970,,,,8,,,
4/1/1970,,,,7.5,,,
5/1/1970,,,,7,,,
6/1/1970,,,,7,,,
7/1/1970,,,,7,,,
8/1/1970,,,,7,,,
9/1/1970,,,,7,,,
10/1/1970,,,,7,,,
11/1/1970,,,,7,,,
12/1/1970,,,,7,,,
1/1/1971,,,,7,,,
2/1/1971,,,,7,,,
3/1/1971,,,,7,,,
4/1/1971,,,,7,,,
5/1/1971,,,,6,,,
6/1/1971,,,,6,,,
7/1/1971,,,,6,,,
8/1/1971,,,,6,,,
9/1/1971,,,,6,,,
10/1/1971,,,,5,,,
11/1/1971,,,,5,,,
12/1/1971,,,,5,,,
1/1/1972,,,,5,,,
2/1/1972,,,,5,,,
3/1/1972,,,,5,,,
4/1/1972,,,,5,,,
5/1/1972,,,,5,,,
6/1/1972,,,,5,,,
7/1/1972,,,,6,,,
8/1/1972,,,,6,,,
9/1/1972,,,,6,,,
10/1/1972,,,,6,,,
11/1/1972,,,,7.5,,,
12/1/1972,,,,7.5,,,
1/1/1973,,,,9,,,
2/1/1973,,,,8.75,,,
3/1/1973,,,,8.75,,,
4/1/1973,,,,8.5,,,
5/1/1973,,,,8.25,,,
6/1/1973,,,,7.75,,,
7/1/1973,,,,7.5,,,
8/1/1973,,,,11.5,,,
9/1/1973,,,,11.5,,,
10/1/1973,,,,11.5,,,
11/1/1973,,,,11.25,,,
12/1/1973,,,,13,,,
1/1/1974,,,,13,,,
2/1/1974,,,,12.75,,,
3/1/1974,,,,12.5,,,
4/1/1974,,,,12.5,,,
5/1/1974,,,,12,,,
6/1/1974,,,,11.75,,,
7/1/1974,,,,11.75,,,
8/1/1974,,,,11.75,,,
9/1/1974,,,,11.75,,,
10/1/1974,,,,11.5,,,
11/1/1974,,,,11.5,,,
12/1/1974,,,,11.5,,,
1/1/1975,,,,11.5,,,
2/1/1975,,,,11,,,
3/1/1975,,,,10.5,,,
4/1/1975,,,,10,,,
5/1/1975,,,,9.75,,,
6/1/1975,,,,10,,,
7/1/1975,,,,10,,,
8/1/1975,,,,11,,,
9/1/1975,,,,11,,,
10/1/1975,,,,11,,,
11/1/1975,,,,12,,,
12/1/1975,,,,11.75,,,
1/1/1976,,,,11.25,,,
2/1/1976,,,,10.5,,,
3/1/1976,,,,9.5,,,
4/1/1976,,,,9,,,
5/1/1976,,,,10.5,,,
6/1/1976,,,,11.5,,,
7/1/1976,,,,11.5,,,
8/1/1976,,,,11.5,,,
9/1/1976,,,,11.5,,,
10/1/1976,,,,13,,,
11/1/1976,,,,15,,,
12/1/1976,,,,14.75,,,
1/1/1977,,,,14.25,,,
2/1/1977,,,,12.25,,,
3/1/1977,,,,12,,,
4/1/1977,,,,9.5,,,
5/1/1977,,,,8.75,,,
6/1/1977,,,,8,,,
7/1/1977,,,,8,,,
8/1/1977,,,,8,,,
9/1/1977,,,,7,,,
10/1/1977,,,,6,,,
11/1/1977,,,,5,,,
12/1/1977,,,,7,,,
1/1/1978,,,,7,,,
2/1/1978,,,,6.5,,,
3/1/1978,,,,6.5,,,
4/1/1978,,,,6.5,,,
5/1/1978,,,,7.5,,,
6/1/1978,,,,9,,,
7/1/1978,,,,10,,,
8/1/1978,,,,10,,,
9/1/1978,,,,10,,,
10/1/1978,,,,10,,,
11/1/1978,,,,10,,,
12/1/1978,,,,12.5,,,
1/1/1979,,,,12.5,,,
2/1/1979,,,,12.5,,,
3/1/1979,,,,14,,,
4/1/1979,,,,13,,,
5/1/1979,,,,12,,,
6/1/1979,,,,12,,,
7/1/1979,,,,14,,,
8/1/1979,,,,14,,,
9/1/1979,,,,14,,,
10/1/1979,,,,14,,,
11/1/1979,,,,14,,,
12/1/1979,,,,17,,,
1/1/1980,,,,17,,,
2/1/1980,,,,17,7.92,,
3/1/1980,,,,17,8.2,,
4/1/1980,,,,17,9.25,,
5/1/1980,,,,17,8.98,,
6/1/1980,,,,17,10.74,,
7/1/1980,,,,17,10.34,,
8/1/1980,,,,16,10.91,,
9/1/1980,,,,16,9.58,,
10/1/1980,,,,16,9.81,,
11/1/1980,,,,16,8.92,,
12/1/1980,,,,14,9.83,,
1/1/1981,,,,14,9.43,,
2/1/1981,,,,14,9.62,,
3/1/1981,,,,14,10.35,,
4/1/1981,,,,12,11.11,,
5/1/1981,,,,12,11.71,,
6/1/1981,,,,12,12.07,,
7/1/1981,,,,12,13.04,,
8/1/1981,,,,12,13.41,,
9/1/1981,,,,12.69,13.04,,
10/1/1981,,,,14,12.91,,
11/1/1981,,,,15.12,12.07,,
12/1/1981,,,,14.56,12.77,,
1/1/1982,,,,14.38,12.78,,
2/1/1982,,,,13.88,13.25,,
3/1/1982,,,,13.62,13.41,,
4/1/1982,,,,13.25,14.85,,
5/1/1982,,,,13.12,17.05,,
6/1/1982,,,,13.12,15.4,,
7/1/1982,,,,12.62,17.44,,
8/1/1982,,,,11.62,16.49,,
9/1/1982,,,,10.62,19.93,,
9/27/1982,10.25,,,,,,
10/1/1982,10,,,10.12,15.89,,
10/7/1982,9.5,,,,,,
11/1/1982,,,,9.62,15.65,,
11/19/1982,9,,,,,,
12/1/1982,,,,10,14.21,,
12/14/1982,8.5,,,,,,
1/1/1983,,,,10,11.8,,
2/1/1983,,,,11,11.96,,
3/1/1983,,,,11,12.71,,
3/31/1983,8.62,,,,,,
4/1/1983,,,,10.56,17.54,,
5/1/1983,,,,10.06,12.72,,
5/25/1983,8.75,,,,,,
6/1/1983,,,,10.06,12.3,,
6/24/1983,9,,,,,,
7/1/1983,,,,9.56,11.85,,
7/14/1983,9.25,,,,,,
7/20/1983,9.43,,,,,,
8/1/1983,,,,9.56,10.85,,
8/11/1983,9.56,,,,,,
8/17/1983,9.5,,,,,,
9/1/1983,,,,9.56,10.91,,
9/15/1983,9.37,,,,,,
10/1/1983,,,,9.56,10.9,,
11/1/1983,,,,9.06,10.66,,
12/1/1983,,,,9.06,10.28,,
1/1/1984,,,,9.06,5.46,,
2/1/1984,,,,9.06,9,,
3/1/1984,,,,9.06,9.74,,
3/29/1984,10.5,,,,,,
4/1/1984,,,,8.56,12.37,,
5/1/1984,,,,8.56,15.06,,
6/1/1984,,,,9.06,14.02,,
7/1/1984,,,,8.88,12.41,,
7/5/1984,11,,,,,,
7/19/1984,11.25,,,,,,
8/1/1984,,,,12,12.16,,
8/9/1984,11.5,,,,,,
9/1/1984,,,,10.5,11.62,,
9/20/1984,11.25,,,,,,
9/27/1984,11,,,,,,
10/1/1984,,,,10.5,11.25,,
10/11/1984,10.5,,,,,,
10/18/1984,10,,,,,,
11/1/1984,,,,10.5,11.02,,
11/8/1984,9.5,,,,,,
11/23/1984,9,,,,,,
12/1/1984,,,,9.5,11.46,,
12/6/1984,8.75,,,,,,
12/19/1984,8.5,,,,,,
12/24/1984,8.12,,,,,,
1/1/1985,,,,9.5,11.89,,
1/24/1985,8.25,,,,,,
2/1/1985,,,,13.88,11.34,,
2/14/1985,8.37,,,,,,
3/1/1985,,,,13.88,11.76,,
3/28/1985,8.5,,,,,,
4/1/1985,,,,12.88,13.76,,
4/25/1985,8.25,,,,,,
5/1/1985,,,,12.38,15.21,,
5/20/1985,7.75,,,,,,
6/1/1985,,,,12.38,15.76,,
7/1/1985,,,,12.38,19.16,,
7/11/1985,7.68,,,,,,
7/25/1985,7.75,,,,,,
8/1/1985,,,,11.38,15.48,,
8/21/1985,7.81,,,,,,
9/1/1985,,,,11.38,16.5,,
9/6/1985,8,,,,,,
10/1/1985,,,,11.38,16.41,,
11/1/1985,,,,11.38,16.09,,
12/1/1985,,,,11.38,18.12,,
12/18/1985,7.75,,,,,,
1/1/1986,,,,11.38,19.34,,
2/1/1986,,,,12.38,18.9,,
3/1/1986,,,,12.38,18.58,,
3/7/1986,7.25,,,,,,
4/1/1986,,,,11.38,17.24,,
4/2/1986,7.31,,,,,,
4/21/1986,6.75,,,,,,
5/1/1986,,,,10.38,17.1,,
5/22/1986,6.81,,,,,,
6/1/1986,,,,9.88,15.11,,
6/5/1986,6.87,,,,,,
7/1/1986,,,,9.88,15.43,,
7/11/1986,6.37,,,,,,
8/1/1986,,,,9.88,14.71,,
8/21/1986,5.87,,,,,,
9/1/1986,,,,9.88,17.78,,
10/1/1986,,,,9.88,17.7,,
11/1/1986,,,,10.88,16.64,,
12/1/1986,,,,10.88,16.35,,
1/1/1987,,,,10.88,15.43,,
1/5/1987,6,,,,,,
2/1/1987,,,,10.88,16.53,,
3/1/1987,,,,10.88,16.43,,
4/1/1987,,,,9.88,16.23,,
4/30/1987,6.5,,,,,,
5/1/1987,,,,9.38,14.78,,
5/22/1987,6.75,,,,,,
6/1/1987,,,,8.88,14.26,,
7/1/1987,,,,8.88,13.21,,
7/2/1987,6.62,,,,,,
8/1/1987,,,,8.88,12.43,,
8/27/1987,6.75,,,,,,
9/1/1987,,,,9.88,12.16,,
9/3/1987,6.87,,,,,,
9/4/1987,7.25,,,,,,
9/24/1987,7.31,,,,,,
10/1/1987,,,,9.88,11.8,,
11/1/1987,,,,9.38,11.3,,
11/4/1987,6.81,,,,,,
12/1/1987,,,,8.88,11.69,,
